baseline,n,mean_excess_cost,median_excess_cost,mean_normalized_gap,optimum_hit_rate,wilcoxon_W,p_value
Greedy,111,0.28243243243243243,0.0,0.05234829774513471,0.6486486486486487,780.0,2.4420463362816006e-08
GA,111,0.038288288288288286,0.0,0.007072838359495251,0.9099099099099099,55.0,0.0022543491824521134
PSO,111,0.008558558558558544,0.0,0.0013666975072505001,0.972972972972973,6.0,0.05440471502027284
NSGA-II,110,0.0,0.0,0.0,1.0,,
Random,108,0.24675925925925923,0.0,0.04853927953884595,0.6481481481481481,741.0,3.270128794166573e-08
