model,n,r2,adjusted_r2,delta_r2,F_geometry,p_geometry
QoS+damage+size,111,0.42908927296400956,0.40190304786705766,0.0,,
QoS+damage+size+failure_geometry,111,0.4338225898828667,0.38337113749619145,0.0047333169188571445,0.21109328995732346,0.9317411127008661
