method,n,spearman_rho_cc_vs_ncog,p_value,mean_ncog,optimum_hit_rate
Greedy,111,-0.04275330484422228,0.655930356324291,0.05234829774513469,0.6486486486486487
GA,111,-0.12388860015446009,0.19515851819184807,0.007072838359495248,0.9099099099099099
PSO,111,-0.0011701249896418943,0.9902752401269812,0.0013666975072504982,0.972972972972973
NSGA-II,110,,,0.0,1.0
Random,108,-0.3026540337348374,0.0014541155364136136,0.04853927953884593,0.6481481481481481
