method,n_feasible,success_rate,mean_feasible_cost,median_feasible_cost,mean_feasible_steps,mean_ncog,paired_optimum_hit_rate,mean_coverage,mean_reliability,mean_latency_ms,mean_energy_mj
CC-Exact,111,0.8222222222222222,6.062612612612612,5.25,3.4054054054054053,0.0,1.0,0.7305487305487306,0.6222960855933023,34.095801115481294,0.16385306185425977
Greedy,111,0.8222222222222222,6.345045045045044,6.05,3.8468468468468466,0.05234829774513469,0.6486486486486487,0.7415494006403099,0.6223478175647905,35.39821600031208,0.16640728974095656
GA,111,0.8222222222222222,6.1009009009009,5.25,3.4774774774774775,0.007072838359495248,0.9099099099099099,0.7325217779763233,0.6223230466323422,34.179305820644146,0.16511438355995142
PSO,111,0.8222222222222222,6.07117117117117,5.25,3.4414414414414414,0.0013666975072504982,0.972972972972973,0.7315352542625271,0.6254368554316635,34.137673813804064,0.16378054988194404
NSGA-II,110,0.8148148148148148,6.007272727272727,5.25,3.3636363636363638,0.0,1.0,0.731442524417731,0.6236988774157187,34.01540465197881,0.16353221974020044
Random,108,0.8,6.1402777777777775,5.8,3.564814814814815,0.04853927953884593,0.6481481481481481,0.7375267829813283,0.6233413181903174,34.441104569784926,0.164787403153112
