mask,cost,steps,coverage,reliability,latency_ms,energy_mj,satisfies
193,5.0,3,0.6198347107438017,0.6096272045879575,31.663047839421484,0.19216788937317134,True
168,5.25,3,0.621900826446281,0.6298823647251159,35.39856167906539,0.18473841657512183,True
208,5.25,3,0.621900826446281,0.6247769320241253,32.91058515693339,0.19191318629910117,True
200,5.25,3,0.621900826446281,0.6098214464025372,32.54513826480009,0.1929382306517606,True
156,5.35,4,0.6652892561983471,0.6080978822701333,38.337263775717744,0.1955777777397086,True
195,6.0,4,0.6198347107438017,0.6191890647396268,31.328382734113063,0.18956520895314036,True
169,6.25,4,0.6466942148760331,0.631261920005799,35.191547085511324,0.18356405627915454,True
209,6.25,4,0.6466942148760331,0.6379622417755713,32.385607252140716,0.18753060055549362,True
201,6.25,4,0.6466942148760331,0.6235408806404684,32.03321203472646,0.18851903618127236,True
157,6.35,5,0.6900826446280992,0.6101116166139369,38.04609341851221,0.1941203960913196,True
184,6.5,4,0.6487603305785123,0.6574940033364026,35.98770988322591,0.18036646607166015,True
216,6.5,4,0.6487603305785123,0.6381495463824873,33.23619444804151,0.18827342964556185,True
171,7.25,5,0.6466942148760331,0.6292360997105569,35.11466754461326,0.18288605211718237,True
211,7.25,5,0.6466942148760331,0.646217312363817,32.03756648105951,0.18517757424710776,True
203,7.25,5,0.6466942148760331,0.6322932395437177,31.697322822866433,0.1861319258857907,True
159,7.35,6,0.6900826446280992,0.6088987622536093,37.88209170822044,0.19314560704263062,True
225,7.4,4,0.6198347107438017,0.6753384505747604,29.363154229883392,0.1724829077270578,True
185,7.5,5,0.6735537190082644,0.6578738622759832,35.76751826861644,0.1793833578722249,True
217,7.5,5,0.6735537190082644,0.6504190656473883,32.71809132303106,0.18416747639840764,True
240,7.65,4,0.621900826446281,0.6904881780109281,30.6106915473953,0.1722282046529876,True
232,7.65,4,0.621900826446281,0.67553269238934,30.245244655261995,0.17325324900564706,True
188,7.75,5,0.6652892561983471,0.6692773181888805,36.19598351856159,0.17725038103470633,True
220,7.75,5,0.6652892561983471,0.6505999114747555,33.539347925969764,0.1848846906922666,True
121,8.3,5,0.6735537190082644,0.6039064078668437,34.34603434535013,0.16584007969340533,True
227,8.4,5,0.6198347107438017,0.6825534805126152,29.110628182058473,0.17058326236581658,True
187,8.5,6,0.6735537190082644,0.6550285045815765,35.674002339644815,0.17886731046254944,True
219,8.5,6,0.6735537190082644,0.6579837397536319,32.37056910862289,0.18200498843887083,True
124,8.55,5,0.6652892561983471,0.6041787017759956,35.16409026542637,0.1665572939872643,True
241,8.65,5,0.6466942148760331,0.7013266575485597,30.167852700086133,0.16854865396816981,True
233,8.65,5,0.6466942148760331,0.6869052964134569,29.81545748267187,0.1695370895939486,True
189,8.75,6,0.6900826446280992,0.6692517380020592,35.97618916992792,0.17640391260981741,True
221,8.75,6,0.6900826446280992,0.6620454345944174,33.028409789195386,0.1810285605184607,True
248,8.9,5,0.6487603305785123,0.7015139621554758,31.018439895986926,0.16929148305823802,True
123,9.3,6,0.6735537190082644,0.6083795602309416,34.10671539191705,0.16428850495736863,True
125,9.55,6,0.6900826446280992,0.617083198739891,34.602088044103816,0.1633120770369585,True
243,9.65,6,0.6466942148760331,0.7073967482825645,29.896286223903356,0.16685017754210546,True
235,9.65,6,0.6466942148760331,0.6934726754624652,29.55604256571028,0.16780452918078842,True
191,9.75,7,0.6900826446280992,0.6661311377905018,35.8789585644292,0.17600062302827366,True
223,9.75,7,0.6900826446280992,0.6689910427957168,32.6820876956983,0.17903708558600404,True
249,9.9,6,0.6735537190082644,0.7115985015661357,30.576811065874914,0.16584007969340533,True
252,10.15,6,0.6652892561983471,0.711779347393503,31.398067668813614,0.1665572939872643,True
127,10.55,7,0.6900826446280992,0.6209869980963391,34.36222926017652,0.16189210157164705,True
251,10.9,7,0.6735537190082644,0.7171238611417544,30.300664860038605,0.16428850495736863,True
253,11.15,7,0.6900826446280992,0.72118555598254,30.95850554061111,0.1633120770369585,True
255,12.15,8,0.6900826446280992,0.7262234183326095,30.678954551907065,0.16189210157164705,True
