actions,state_space,scenario_seed,algorithm_seed,replicate,method,feasible,cost,exact_cc,cog,ncog,optimum_hit,runtime_s
8,256,7777,3209010.0,11,Random,False,,,,,False,0.0008676239999658719
8,256,7777,809011.0,12,GA,False,,,,,False,0.0071816409999883035
8,256,7777,1609011.0,12,PSO,False,,,,,False,0.002868318000309955
8,256,7777,2409011.0,12,NSGA-II,False,,,,,False,0.12846981100028643
8,256,7777,3209011.0,12,Random,False,,,,,False,0.0008790010001575865
10,1024,7777,,0,CC-Exact,True,8.55,8.55,0.0,0.0,True,0.2345368689998395
10,1024,7777,,0,Greedy,True,9.3,8.55,0.75,0.08771929824561403,False,0.0028820180000366236
10,1024,7777,1009000.0,1,GA,True,9.3,8.55,0.75,0.08771929824561403,False,0.04921845899980326
10,1024,7777,2009000.0,1,PSO,True,8.55,8.55,0.0,0.0,True,0.05247705900001165
10,1024,7777,3009000.0,1,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.14593244699972274
10,1024,7777,4009000.0,1,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.01540019999993092
10,1024,7777,1009001.0,2,GA,True,8.55,8.55,0.0,0.0,True,0.010792747000323288
10,1024,7777,2009001.0,2,PSO,True,8.55,8.55,0.0,0.0,True,0.016536043000087375
10,1024,7777,3009001.0,2,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.14088532899995698
10,1024,7777,4009001.0,2,Random,True,9.55,8.55,1.0,0.11695906432748537,False,0.010211491000063688
10,1024,7777,1009002.0,3,GA,True,8.55,8.55,0.0,0.0,True,0.008318376999795873
10,1024,7777,2009002.0,3,PSO,True,8.55,8.55,0.0,0.0,True,0.00921225999991293
10,1024,7777,3009002.0,3,NSGA-II,True,9.3,8.55,0.75,0.08771929824561403,False,0.13589832099978594
10,1024,7777,4009002.0,3,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.003687699999773031
10,1024,7777,1009003.0,4,GA,True,9.3,8.55,0.75,0.08771929824561403,False,0.011422916999890731
10,1024,7777,2009003.0,4,PSO,True,8.55,8.55,0.0,0.0,True,0.007483461999981955
10,1024,7777,3009003.0,4,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13616067199973259
10,1024,7777,4009003.0,4,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.0024972149999484827
10,1024,7777,1009004.0,5,GA,True,8.55,8.55,0.0,0.0,True,0.0077882059999865305
10,1024,7777,2009004.0,5,PSO,True,8.55,8.55,0.0,0.0,True,0.004610937000052218
10,1024,7777,3009004.0,5,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13821338300022035
10,1024,7777,4009004.0,5,Random,True,9.3,8.55,0.75,0.08771929824561403,False,0.002364305999890348
10,1024,7777,1009005.0,6,GA,True,8.55,8.55,0.0,0.0,True,0.0079783689998294
10,1024,7777,2009005.0,6,PSO,True,9.3,8.55,0.75,0.08771929824561403,False,0.004910623999876407
10,1024,7777,3009005.0,6,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13310569599980226
10,1024,7777,4009005.0,6,Random,True,8.55,8.55,0.0,0.0,True,0.0015538980001110758
10,1024,7777,1009006.0,7,GA,True,9.3,8.55,0.75,0.08771929824561403,False,0.00736783899992588
10,1024,7777,2009006.0,7,PSO,True,8.55,8.55,0.0,0.0,True,0.0031573190003655327
10,1024,7777,3009006.0,7,NSGA-II,True,8.55,8.55,0.0,0.0,True,0.13420169100027124
10,1024,7777,4009006.0,7,Random,True,10.55,8.55,2.0,0.23391812865497075,False,0.001108572999783064
