mask,cost,steps,coverage,reliability,latency_ms,energy_mj,satisfies
0,0.0,0,0.5950413223140496,0.3823724751059198,39.61696337129281,0.22640010980691747,False
1,1.0,1,0.6198347107438017,0.38256092180000706,39.610367736999756,0.22363922900992195,False
2,1.0,1,0.5971074380165289,0.3786066037422114,39.748768869022605,0.2240853626134006,False
3,2.0,2,0.6198347107438017,0.3789228156030708,39.73770145389252,0.22150575424463764,False
4,1.25,1,0.6115702479338843,0.40550506140567927,41.47398951746789,0.22316891919608153,False
5,2.25,2,0.6363636363636364,0.404860614064272,41.40130707917905,0.22062204094936572,False
6,2.25,2,0.6136363636363636,0.4010475216513976,41.53476531362965,0.22105224120986297,False
7,3.25,3,0.6363636363636364,0.4005790048994968,41.46249344920726,0.2186661752470414,False
8,1.25,1,0.621900826446281,0.43311181374438185,42.285530963391075,0.2044233982212354,False
9,2.25,2,0.6466942148760331,0.4314814109623066,42.183864902033555,0.20254600286647834,False
10,2.25,2,0.6239669421487604,0.4276683185494322,42.317323136484156,0.2029762031269756,False
11,3.25,3,0.6466942148760331,0.4262818432838061,42.21806651954954,0.20121344882218464,False
12,2.5,2,0.6384297520661157,0.4535577182477737,43.12547986132792,0.2012959472705814,False
13,3.5,3,0.6632231404958677,0.4512785050615151,42.99835577112283,0.1995911328229075,False
14,3.5,3,0.640495867768595,0.4475968985939123,43.12721199748893,0.20000649859166347,False
15,4.5,4,0.6632231404958677,0.44559235316899104,43.00426763908531,0.19840149291487597,False
16,1.25,1,0.621900826446281,0.4158704791597334,40.22231100718711,0.2203232095354833,False
17,2.25,2,0.6466942148760331,0.41485583832710987,40.19433137283687,0.21787796377664595,False
18,2.25,2,0.6239669421487604,0.4110427459142355,40.32778960728747,0.2183081640371432,False
19,3.25,3,0.6466942148760331,0.41022956625671964,40.297137594807914,0.2160167214251051,False
20,2.5,2,0.6384297520661157,0.436752437026112,41.14223613265751,0.2164653517560526,False
21,3.5,3,0.6632231404958677,0.4350527162957728,41.08349975723416,0.2142374543950866,False
22,3.5,3,0.640495867768595,0.43137110982816995,41.21235598360026,0.21465282016384257,False
23,4.5,4,0.6632231404958677,0.4299074240287734,41.15324015899293,0.2125596037679824,False
24,2.5,2,0.6487603305785123,0.4636013412734713,42.7739530554285,0.19934841265898393,False
25,3.5,3,0.6735537190082644,0.46097579625874036,42.65895057921995,0.19771075457722717,False
26,3.5,3,0.6508264462809917,0.4572941897911375,42.787806805586044,0.19812612034598315,False
